Date,Product,Sales/Usage,Production,Purchase Quantity,Current Stock,Previous Demand,Future Demand
2021-01-01,Raw Cotton,431.99,388.25,186.44,590.57,452.82,335.6
2021-02-01,Cotton Yarn,410.62,356.37,50.92,229.26,386.28,317.01
2021-03-01,Cotton Fabric,296.51,294.82,42.19,179.29,308.98,253.38
2021-04-01,Cotton Thread,275.98,179.63,22.53,182.27,263.29,217.96
2021-05-01,Cotton Waste,104.09,65.92,34.87,97.42,113.98,88.45
2021-06-01,Raw Cotton,362.62,392.09,146.52,484.09,436.97,349.26
2021-07-01,Cotton Yarn,251.76,343.84,98.11,284.5,288.55,220.85
2021-08-01,Cotton Fabric,236.95,217.69,47.22,340.96,272.35,201.93
2021-09-01,Cotton Thread,174.73,147.7,1.99,185.07,182.84,138.87
2021-10-01,Cotton Waste,100.75,72.57,6.94,23.37,92.67,60.62
2021-11-01,Raw Cotton,401.04,459.2,130.23,336.94,404.79,327.98
2021-12-01,Cotton Yarn,311.51,307.53,130.44,446.23,351.01,264.95
2022-01-01,Cotton Fabric,320.84,257.04,79.35,232.8,336.84,242.76
2022-02-01,Cotton Thread,200.8,178.32,0.0,211.97,193.75,166.18
2022-03-01,Cotton Waste,147.79,48.16,4.36,81.56,150.72,108.72
2022-04-01,Raw Cotton,514.38,370.95,133.29,565.22,490.3,401.53
2022-05-01,Cotton Yarn,285.21,353.56,136.09,322.27,337.32,267.08
2022-06-01,Cotton Fabric,236.91,218.86,47.4,462.0,276.08,198.91
2022-07-01,Cotton Thread,183.39,189.38,43.04,265.1,175.63,121.28
2022-08-01,Cotton Waste,60.25,65.71,12.79,93.88,46.44,34.91
2022-09-01,Raw Cotton,320.84,352.32,110.24,437.08,369.47,259.86
2022-10-01,Cotton Yarn,292.7,338.28,38.7,318.46,273.75,244.21
2022-11-01,Cotton Fabric,293.74,301.78,78.3,191.06,276.65,236.84
2022-12-01,Cotton Thread,236.37,172.7,72.93,107.35,252.94,186.16
2023-01-01,Cotton Waste,27.22,136.19,8.83,74.72,41.72,13.99
2023-02-01,Raw Cotton,442.48,494.19,27.76,349.17,516.88,377.54
2023-03-01,Cotton Yarn,390.29,279.86,28.89,202.4,363.47,285.29
2023-04-01,Cotton Fabric,321.78,243.9,103.34,161.35,320.89,291.09
2023-05-01,Cotton Thread,214.3,173.47,31.52,125.71,240.73,154.31
2023-06-01,Cotton Waste,106.05,98.95,24.12,57.42,113.19,91.87
2023-07-01,Raw Cotton,402.99,419.72,23.4,466.76,431.59,306.98
2023-08-01,Cotton Yarn,286.47,325.21,148.74,385.03,317.3,254.58
2023-09-01,Cotton Fabric,296.94,266.39,58.15,234.54,290.0,230.76
2023-10-01,Cotton Thread,190.4,120.14,5.88,302.68,199.54,153.5
2023-11-01,Cotton Waste,71.95,75.07,18.85,119.16,67.13,17.38
2023-12-01,Raw Cotton,440.54,354.34,184.54,315.43,427.61,353.71
2021-01-01,Cotton Yarn,388.64,292.43,120.4,306.26,370.96,296.33
2021-02-01,Cotton Fabric,326.18,276.38,66.07,415.08,318.68,249.26
2021-03-01,Cotton Thread,257.75,192.73,33.88,216.28,246.02,196.92
2021-04-01,Cotton Waste,121.64,68.48,21.66,89.38,132.09,60.9
2021-05-01,Raw Cotton,404.65,334.03,38.94,218.18,446.56,338.0
2021-06-01,Cotton Yarn,287.17,322.85,27.17,368.32,334.92,226.32
2021-07-01,Cotton Fabric,180.03,309.68,108.12,150.1,204.86,194.62
2021-08-01,Cotton Thread,172.55,178.16,39.72,273.62,172.56,141.11
2021-09-01,Cotton Waste,42.63,107.84,1.4,131.95,53.19,48.29
2021-10-01,Raw Cotton,364.38,455.84,130.91,562.39,371.62,305.02
2021-11-01,Cotton Yarn,307.33,263.31,66.12,338.49,306.92,239.85
2021-12-01,Cotton Fabric,247.55,250.84,14.52,324.77,287.85,196.27
2022-01-01,Cotton Thread,207.21,199.51,82.11,195.78,210.09,210.35
2022-02-01,Cotton Waste,107.24,97.15,13.88,60.06,104.93,95.9
2022-03-01,Raw Cotton,411.73,361.37,51.76,182.15,497.53,346.69
2022-04-01,Cotton Yarn,333.96,208.75,172.06,435.66,398.39,292.28
2022-05-01,Cotton Fabric,238.56,225.35,80.83,222.08,257.78,226.55
2022-06-01,Cotton Thread,188.1,177.72,56.8,267.59,165.75,162.2
2022-07-01,Cotton Waste,60.13,40.8,8.55,42.78,75.56,41.05
2022-08-01,Raw Cotton,350.31,411.32,151.61,417.18,334.19,291.1
2022-09-01,Cotton Yarn,287.22,349.96,127.52,461.03,300.03,224.14
2022-10-01,Cotton Fabric,264.32,244.59,33.54,449.83,249.13,197.27
2022-11-01,Cotton Thread,120.18,195.34,100.15,198.52,142.4,120.15
2022-12-01,Cotton Waste,28.32,109.22,16.75,112.07,29.75,54.37
2023-01-01,Raw Cotton,392.93,423.92,26.44,577.51,414.64,330.22
2023-02-01,Cotton Yarn,404.02,367.35,82.18,539.97,370.34,306.19
2023-03-01,Cotton Fabric,213.62,254.33,90.98,397.02,271.46,199.94
2023-04-01,Cotton Thread,185.55,147.66,66.63,173.86,194.4,172.38
2023-05-01,Cotton Waste,91.61,88.62,22.03,71.82,69.39,46.15
2023-06-01,Raw Cotton,376.97,477.42,66.74,315.34,434.49,311.85
2023-07-01,Cotton Yarn,354.71,293.93,32.41,162.58,314.31,268.11
2023-08-01,Cotton Fabric,241.03,271.66,44.89,185.18,281.21,223.75
2023-09-01,Cotton Thread,165.55,175.59,37.87,195.11,154.13,134.09
2023-10-01,Cotton Waste,102.29,105.89,23.56,89.19,90.34,101.47
2023-11-01,Raw Cotton,413.31,399.42,172.32,189.91,383.33,313.77
2023-12-01,Cotton Yarn,306.41,235.17,79.84,402.7,307.12,244.34
2021-01-01,Cotton Fabric,270.22,202.98,11.61,257.98,291.26,228.26
2021-02-01,Cotton Thread,207.6,124.12,34.89,152.68,200.97,168.89
2021-03-01,Cotton Waste,73.32,82.39,12.81,69.1,72.3,72.09
2021-04-01,Raw Cotton,427.23,385.08,164.89,666.7,423.15,338.39
2021-05-01,Cotton Yarn,355.09,341.41,117.57,290.86,340.51,294.72
2021-06-01,Cotton Fabric,303.94,266.21,26.84,261.43,295.99,226.91
2021-07-01,Cotton Thread,167.95,169.39,54.78,105.14,146.6,134.82
2021-08-01,Cotton Waste,87.94,100.41,25.68,140.48,82.16,64.05
2021-09-01,Raw Cotton,296.26,416.6,111.05,263.94,342.54,290.7
2021-10-01,Cotton Yarn,274.56,321.29,121.39,383.12,321.35,224.45
2021-11-01,Cotton Fabric,241.0,297.02,52.15,419.67,255.22,201.76
2021-12-01,Cotton Thread,204.83,135.61,22.86,283.41,196.83,147.41
2022-01-01,Cotton Waste,131.78,66.18,28.01,117.97,125.75,119.63
2022-02-01,Raw Cotton,443.78,405.17,171.68,456.43,509.58,398.04
2022-03-01,Cotton Yarn,339.29,320.95,69.63,236.6,351.92,286.28
2022-04-01,Cotton Fabric,266.69,219.2,104.35,176.61,260.67,205.54
2022-05-01,Cotton Thread,169.1,189.39,36.39,127.27,186.78,143.53
2022-06-01,Cotton Waste,94.31,80.29,25.69,93.29,87.41,64.42
2022-07-01,Raw Cotton,335.52,391.93,59.81,604.89,332.26,247.65
2022-08-01,Cotton Yarn,286.67,337.64,36.33,220.43,307.68,225.05
2022-09-01,Cotton Fabric,249.07,262.85,53.32,450.4,248.15,200.81
2022-10-01,Cotton Thread,176.75,210.73,66.59,204.87,204.34,164.27
2022-11-01,Cotton Waste,67.38,120.19,42.53,78.63,78.79,63.92
